Asset_ID,Asset_Type,Fuel_Type,Fuel_Consumed_Litres,Distance_Travelled_KM,Trip_Date,Location_Start,Location_End,Trip_Duration_Hours,Maintenance_Flag,Fuel_Cost_Per_Litre,Driver_ID,Weather_Condition,Asset_Age_Years,Speed_KMPH,Trip_Status,Remarks,Total_Trip_Cost
A-00043,Tugboat,Petrol,2849.16,554.73,2025-01-25,Doha Bay,Muscat Dock,67.67,No,1.05,D-635,Rainy,9,92.05,Completed,Cost somebody off region thought remain reason build.,2991.62
A-00044,Supply Ship,Diesel,1981.3,937.73,2025-01-01,Doha Bay,Muscat Dock,34.4,No,0.74,D-214,Rainy,12,70.52,Cancelled,Author through wonder well participant often.,1466.16
A-00045,Supply Ship,Petrol,1416.76,1949.24,2024-11-29,Doha Bay,Dubai Port,45.19,No,0.51,D-825,Rainy,6,62.49,Cancelled,Let born agree visit radio.,722.55
A-00046,Supply Ship,Petrol,3295.09,1763.51,2025-07-16,Dubai Port,Abu Dhabi Rig,47.16,No,1.32,D-950,Stormy,13,97.78,Cancelled,Safe form concern official probably.,4349.52
A-00047,Supply Ship,Diesel,759.83,371.0,2023-12-03,Muscat Dock,Doha Bay,7.46,No,0.94,D-728,Windy,3,76.22,Completed,Guy on adult run together.,714.24
A-00048,Helicopter,Diesel,2641.21,1449.32,2025-07-20,Ras Laffan,Muscat Dock,61.51,No,0.82,D-655,Rainy,6,83.14,Cancelled,Give after bank share future subject for.,2165.79
A-00049,Tugboat,Jet Fuel,3863.56,1874.28,2025-03-20,Ras Laffan,Dubai Port,12.66,No,1.8,D-642,Sunny,4,112.61,Delayed,Would style attention go.,6954.41
A-00050,Tugboat,Petrol,905.06,27.5,2024-03-22,Abu Dhabi Rig,Dubai Port,29.22,No,1.59,D-282,Stormy,13,25.85,Cancelled,Realize smile recent.,1439.05
A-00051,Helicopter,Jet Fuel,3790.97,1444.68,2023-11-23,Dubai Port,Abu Dhabi Rig,48.75,No,1.99,D-162,Windy,9,46.24,Completed,Civil senior Mr court with talk.,7544.03
A-00052,Tugboat,Jet Fuel,3827.89,924.07,2025-03-03,Abu Dhabi Rig,Dubai Port,4.92,Yes,1.49,D-549,Windy,13,109.82,Cancelled,Go age research long.,5703.56
A-00053,Helicopter,Diesel,393.64,1363.67,2024-03-28,Ras Laffan,Dubai Port,42.21,Yes,1.84,D-414,Stormy,8,99.27,Cancelled,Write feel which people campaign moment special.,724.3
A-00054,Supply Ship,Jet Fuel,192.04,1215.12,2024-01-21,Abu Dhabi Rig,Abu Dhabi Rig,30.1,No,0.68,D-694,Stormy,2,38.86,Delayed,Early usually top purpose successful.,130.59
A-00055,Helicopter,Petrol,4872.28,1969.48,2024-11-21,Dubai Port,Muscat Dock,5.53,No,1.58,D-752,Windy,3,36.91,Cancelled,Tend test reach baby best add.,7698.2
A-00056,Supply Ship,Diesel,1047.58,584.74,2025-07-05,Dubai Port,Abu Dhabi Rig,52.57,No,0.63,D-214,Rainy,8,102.51,Cancelled,Beautiful traditional future each.,659.98
A-00057,Supply Ship,Petrol,4128.48,1574.42,2024-06-01,Dubai Port,Ras Laffan,36.59,No,0.64,D-390,Windy,2,75.29,Completed,Then surface along myself.,2642.23
A-00058,Truck,Petrol,2853.07,476.93,2023-11-11,Ras Laffan,Muscat Dock,22.54,No,1.79,D-163,Sunny,10,106.03,Delayed,Opportunity more decide set member.,5107.0
A-00059,Helicopter,Diesel,1395.91,876.86,2024-05-02,Dubai Port,Ras Laffan,6.99,No,1.04,D-585,Windy,8,111.77,Delayed,These fund top live establish process enter.,1451.75
A-00060,Truck,Petrol,736.86,1951.01,2023-12-03,Doha Bay,Dubai Port,39.87,No,0.97,D-268,Stormy,8,26.95,Cancelled,Oil spring nature she scientist large morning.,714.75
A-00061,Helicopter,Diesel,2533.72,1534.61,2024-05-16,Doha Bay,Ras Laffan,22.72,No,0.78,D-731,Sunny,5,116.98,Delayed,Should late hair computer threat.,1976.3
A-00062,Helicopter,Petrol,2096.04,638.48,2023-08-30,Dubai Port,Abu Dhabi Rig,68.21,No,1.23,D-867,Stormy,5,91.65,Completed,Difficult from everyone herself.,2578.13
A-00063,Truck,Diesel,3524.54,1242.54,2025-04-29,Doha Bay,Abu Dhabi Rig,43.0,No,0.81,D-638,Rainy,8,103.45,Delayed,Street purpose American seven writer pull food.,2854.88
A-00064,Truck,Jet Fuel,4530.43,108.89,2024-08-07,Dubai Port,Doha Bay,21.24,No,1.31,D-694,Rainy,14,83.03,Cancelled,Share price range improve.,5934.86
A-00065,Helicopter,Petrol,4045.72,540.13,2023-09-04,Ras Laffan,Dubai Port,38.53,No,1.49,D-358,Sunny,7,50.52,Cancelled,Here skin worry nice report maintain within.,6028.12
A-00066,Tugboat,Diesel,1444.82,1439.6,2024-10-06,Doha Bay,Abu Dhabi Rig,39.3,No,1.48,D-242,Stormy,14,79.94,Cancelled,Majority go doctor single style middle.,2138.33
A-00067,Supply Ship,Petrol,4406.77,1144.49,2023-09-21,Ras Laffan,Muscat Dock,52.6,No,1.05,D-500,Sunny,12,71.59,Completed,Bit base clearly me before firm.,4627.11
A-00068,Truck,Petrol,4183.62,944.65,2024-09-23,Doha Bay,Abu Dhabi Rig,65.06,Yes,1.56,D-733,Sunny,14,113.21,Completed,Fact lot traditional speak indeed detail open.,6526.45
A-00069,Supply Ship,Petrol,4652.77,1384.84,2023-11-14,Muscat Dock,Muscat Dock,69.34,No,0.9,D-255,Rainy,8,75.5,Delayed,Imagine some out.,4187.49
A-00070,Tugboat,Diesel,2347.44,802.93,2024-03-22,Muscat Dock,Dubai Port,51.97,No,1.71,D-325,Stormy,1,22.79,Cancelled,Various page news win put rock professional.,4014.12
A-00071,Tugboat,Jet Fuel,3866.02,62.05,2025-03-20,Ras Laffan,Doha Bay,39.76,No,0.5,D-966,Windy,11,88.61,Completed,Vote exist sound serve machine assume citizen.,1933.01
A-00072,Tugboat,Jet Fuel,2999.12,887.64,2024-10-06,Doha Bay,Doha Bay,16.97,No,1.95,D-403,Rainy,7,25.05,Completed,Sport player different new speak choose.,5848.28
A-00073,Truck,Jet Fuel,1621.46,1805.24,2024-05-15,Muscat Dock,Ras Laffan,29.62,No,1.15,D-827,Sunny,7,114.4,Delayed,Certain bag another citizen door under.,1864.68
A-00074,Tugboat,Diesel,4972.71,1714.66,2024-04-21,Dubai Port,Abu Dhabi Rig,35.7,No,1.0,D-812,Stormy,2,68.66,Cancelled,Price field control lot true.,4972.71
A-00075,Truck,Jet Fuel,287.71,823.9,2023-09-25,Abu Dhabi Rig,Dubai Port,10.11,No,1.44,D-212,Sunny,13,116.8,Delayed,Possible cell base family candidate stage somebody.,414.3
A-00076,Tugboat,Diesel,895.14,54.22,2024-09-02,Muscat Dock,Ras Laffan,19.2,Yes,1.82,D-815,Sunny,9,22.59,Cancelled,Military raise short training strong which.,1629.15
A-00077,Supply Ship,Petrol,4473.46,1276.25,2023-11-10,Muscat Dock,Dubai Port,70.9,No,1.03,D-606,Sunny,12,73.28,Cancelled,Test more able set.,4607.66
A-00078,Supply Ship,Petrol,396.76,1484.98,2025-04-25,Dubai Port,Dubai Port,54.72,No,0.61,D-147,Stormy,13,42.62,Delayed,We head professional.,242.02
A-00079,Helicopter,Jet Fuel,4445.42,595.54,2024-04-01,Muscat Dock,Ras Laffan,35.22,No,1.03,D-828,Rainy,12,84.07,Completed,Eight doctor report send try vote small.,4578.78
A-00080,Supply Ship,Diesel,3604.59,958.56,2025-01-23,Muscat Dock,Dubai Port,17.05,No,0.51,D-567,Windy,14,69.82,Cancelled,Treat speak there several matter debate budget.,1838.34
A-00081,Helicopter,Petrol,279.75,1983.8,2025-02-24,Muscat Dock,Ras Laffan,41.71,Yes,0.78,D-277,Sunny,6,76.61,Cancelled,Challenge these who training off raise very.,218.2
A-00082,Supply Ship,Diesel,2203.67,1156.92,2024-04-05,Doha Bay,Abu Dhabi Rig,17.46,No,0.58,D-889,Windy,8,55.96,Completed,Already whole education.,1278.13
A-00083,Truck,Diesel,3796.91,708.64,2023-09-20,Muscat Dock,Ras Laffan,14.71,No,1.08,D-800,Rainy,14,25.15,Completed,Home price heart technology difference.,4100.66
A-00084,Supply Ship,Petrol,2957.19,1258.7,2024-01-29,Abu Dhabi Rig,Abu Dhabi Rig,7.66,No,0.59,D-591,Sunny,13,30.61,Delayed,Project born several week still.,1744.74
A-00085,Helicopter,Diesel,4685.77,368.24,2024-10-04,Doha Bay,Doha Bay,25.56,Yes,1.98,D-680,Stormy,6,105.86,Completed,Rise girl lead ago field.,9277.82
A-00086,Helicopter,Petrol,4351.46,406.51,2025-02-09,Doha Bay,Ras Laffan,39.46,No,1.67,D-727,Sunny,7,90.28,Completed,Will professor protect language personal attorney bad.,7266.94
A-00087,Tugboat,Petrol,1729.97,1850.6,2024-05-07,Ras Laffan,Doha Bay,12.31,No,1.13,D-988,Sunny,3,96.94,Delayed,Fish four before senior available generation.,1954.87
A-00088,Truck,Petrol,514.67,486.01,2024-04-22,Muscat Dock,Ras Laffan,15.23,No,1.69,D-981,Sunny,2,32.27,Delayed,Network off close policy.,869.79
A-00089,Supply Ship,Diesel,4726.86,628.47,2024-06-03,Abu Dhabi Rig,Dubai Port,28.77,No,1.13,D-861,Sunny,4,24.92,Delayed,Security military activity including campaign.,5341.35
A-00090,Tugboat,Petrol,2634.71,1092.12,2025-04-11,Abu Dhabi Rig,Doha Bay,35.76,No,1.47,D-911,Rainy,4,21.73,Cancelled,Decide share smile sense table need.,3873.02
A-00091,Supply Ship,Diesel,464.55,1800.39,2025-02-17,Ras Laffan,Muscat Dock,55.12,No,1.73,D-359,Rainy,12,72.18,Cancelled,Trade else government occur.,803.67
A-00092,Supply Ship,Petrol,4101.22,1565.08,2025-05-10,Abu Dhabi Rig,Muscat Dock,41.23,Yes,1.53,D-725,Stormy,13,70.09,Cancelled,Reach dog son laugh somebody your.,6274.87
A-00093,Tugboat,Petrol,4355.68,97.13,2025-05-04,Doha Bay,Muscat Dock,44.86,No,0.63,D-165,Sunny,12,31.06,Completed,Woman put yard soldier dark Republican.,2744.08
A-00094,Tugboat,Jet Fuel,3233.18,1389.13,2025-04-16,Dubai Port,Doha Bay,50.43,No,0.57,D-188,Stormy,13,54.66,Completed,All evidence research whose job million test.,1842.91
A-00095,Tugboat,Jet Fuel,2292.79,1013.08,2025-06-19,Doha Bay,Abu Dhabi Rig,33.02,No,1.35,D-336,Sunny,5,73.02,Delayed,Lot information approach special.,3095.27
A-00096,Tugboat,Jet Fuel,3344.65,956.35,2025-03-28,Dubai Port,Ras Laffan,25.36,No,0.79,D-894,Stormy,7,87.58,Delayed,Talk break meeting pick cover week attack.,2642.27
A-00097,Tugboat,Diesel,3562.75,1386.2,2024-09-15,Abu Dhabi Rig,Dubai Port,57.83,Yes,1.98,D-496,Sunny,14,101.0,Cancelled,Maybe shake ten attention short.,7054.24
A-00098,Supply Ship,Diesel,4475.85,400.5,2024-06-04,Muscat Dock,Dubai Port,59.81,No,0.52,D-710,Rainy,3,84.14,Cancelled,Contain say skill far.,2327.44
A-00099,Tugboat,Petrol,4783.72,1963.16,2024-06-07,Dubai Port,Doha Bay,11.93,No,1.62,D-489,Sunny,6,23.0,Completed,Tv candidate environment environment to compare.,7749.63
A-00100,Truck,Petrol,2620.17,1294.16,2024-04-30,Doha Bay,Muscat Dock,68.69,No,0.56,D-967,Sunny,13,78.61,Cancelled,Sometimes spring office century statement side.,1467.3
A-00101,Helicopter,Petrol,4012.62,737.66,2025-01-02,Doha Bay,Dubai Port,67.02,No,1.42,D-483,Rainy,8,28.79,Delayed,Including people generation right mission six truth.,5697.92
A-00102,Tugboat,Petrol,4826.1,1204.4,2024-03-08,Doha Bay,Dubai Port,62.83,Yes,1.13,D-296,Stormy,14,76.49,Cancelled,At anything age player.,5453.49
A-00103,Tugboat,Diesel,841.09,440.78,2025-06-13,Doha Bay,Abu Dhabi Rig,31.01,No,1.45,D-356,Windy,8,57.6,Delayed,Them quality worry among.,1219.58
A-00104,Supply Ship,Petrol,189.51,1271.35,2025-01-01,Ras Laffan,Dubai Port,60.79,Yes,1.64,D-725,Rainy,9,48.63,Cancelled,Test cultural final expert operation.,310.8
A-00105,Tugboat,Petrol,4357.92,66.15,2024-10-13,Abu Dhabi Rig,Dubai Port,45.59,No,0.55,D-485,Stormy,12,68.17,Delayed,Ask term no.,2396.86
A-00106,Tugboat,Jet Fuel,1056.84,688.95,2025-07-07,Muscat Dock,Ras Laffan,15.58,No,1.28,D-276,Sunny,2,58.15,Delayed,Race central cut along anything.,1352.76
A-00107,Tugboat,Petrol,308.15,1497.56,2024-05-27,Ras Laffan,Dubai Port,56.02,No,1.91,D-784,Windy,4,103.03,Delayed,Strong her brother difference.,588.57
A-00108,Supply Ship,Petrol,884.47,1617.88,2025-06-13,Abu Dhabi Rig,Ras Laffan,29.83,No,0.83,D-635,Stormy,1,42.65,Completed,Bit TV example least.,734.11
A-00109,Tugboat,Petrol,1982.16,513.31,2023-11-04,Dubai Port,Muscat Dock,21.74,No,0.62,D-464,Stormy,7,33.67,Completed,Around start standard popular.,1228.94
A-00110,Helicopter,Diesel,1174.4,1083.42,2023-08-09,Ras Laffan,Abu Dhabi Rig,63.36,No,1.66,D-200,Sunny,6,103.7,Completed,Raise clear head information ground task.,1949.5
A-00111,Supply Ship,Jet Fuel,1595.74,1061.7,2024-05-14,Ras Laffan,Dubai Port,62.22,No,1.61,D-349,Sunny,13,44.34,Delayed,Hospital far often add issue interview.,2569.14
A-00112,Helicopter,Petrol,4878.94,848.7,2024-07-08,Ras Laffan,Abu Dhabi Rig,62.37,Yes,1.09,D-432,Stormy,14,23.22,Cancelled,Since ball bag.,5318.04
A-00113,Supply Ship,Petrol,3551.59,464.58,2025-04-24,Ras Laffan,Abu Dhabi Rig,62.03,No,1.75,D-187,Sunny,3,58.7,Completed,Until add enjoy provide.,6215.28
A-00114,Tugboat,Jet Fuel,3589.74,1409.42,2024-05-05,Dubai Port,Abu Dhabi Rig,40.35,No,1.32,D-501,Windy,5,101.9,Cancelled,Development process when loss class performance finish bill.,4738.46
A-00115,Helicopter,Petrol,563.96,512.2,2025-04-09,Doha Bay,Doha Bay,44.8,No,1.21,D-590,Sunny,3,63.19,Completed,Body follow yourself capital keep thank.,682.39
A-00116,Supply Ship,Diesel,3687.28,1822.94,2024-11-19,Ras Laffan,Ras Laffan,68.37,No,1.73,D-810,Windy,10,67.01,Cancelled,Fish voice address effort still box.,6378.99
A-00117,Truck,Petrol,3722.79,1061.72,2023-12-07,Abu Dhabi Rig,Abu Dhabi Rig,10.18,Yes,0.65,D-434,Windy,12,24.72,Cancelled,Figure success role toward.,2419.81
A-00118,Tugboat,Diesel,3332.75,1742.25,2024-05-20,Doha Bay,Muscat Dock,58.24,No,0.84,D-793,Sunny,7,91.11,Delayed,Happen year sing.,2799.51
A-00119,Supply Ship,Diesel,1219.34,588.58,2025-02-05,Dubai Port,Dubai Port,38.37,No,1.17,D-569,Stormy,8,54.37,Completed,Again interview season computer.,1426.63
A-00120,Truck,Petrol,2172.88,1616.09,2024-09-19,Muscat Dock,Abu Dhabi Rig,70.47,Yes,0.63,D-828,Windy,13,92.86,Delayed,Charge main ready he exist get.,1368.91
A-00121,Supply Ship,Jet Fuel,4246.75,236.19,2024-06-19,Dubai Port,Abu Dhabi Rig,46.38,Yes,1.99,D-142,Sunny,11,61.1,Delayed,Four anyone try difference reflect myself behind.,8451.03
A-00122,Truck,Diesel,3383.99,1535.99,2025-07-21,Muscat Dock,Dubai Port,12.54,No,0.97,D-958,Rainy,11,72.69,Cancelled,Film world heavy three rather.,3282.47
A-00123,Tugboat,Jet Fuel,3690.57,780.02,2024-09-04,Abu Dhabi Rig,Muscat Dock,58.9,Yes,1.92,D-169,Windy,8,78.95,Cancelled,Lay thank cold board important five safe.,7085.89
A-00124,Helicopter,Petrol,2978.13,945.28,2024-08-16,Muscat Dock,Abu Dhabi Rig,48.76,No,1.21,D-201,Stormy,9,39.69,Cancelled,Actually court guy heavy Republican anyone.,3603.54
A-00125,Truck,Diesel,2302.97,341.95,2024-02-28,Ras Laffan,Abu Dhabi Rig,11.57,No,1.89,D-416,Stormy,9,49.4,Delayed,Behavior leader appear pressure woman growth research.,4352.61
A-00126,Supply Ship,Petrol,3819.35,47.07,2025-07-14,Doha Bay,Muscat Dock,1.64,No,1.16,D-764,Stormy,4,78.56,Completed,Forward southern industry.,4430.45
A-00127,Tugboat,Jet Fuel,432.84,1335.73,2024-08-15,Doha Bay,Abu Dhabi Rig,39.6,No,1.72,D-198,Rainy,11,102.29,Delayed,Deep establish top wind who field.,744.48
A-00128,Truck,Petrol,3398.49,1179.56,2023-08-23,Ras Laffan,Muscat Dock,18.15,Yes,1.63,D-332,Windy,10,116.14,Completed,Fall interesting defense dinner garden research speech guess.,5539.54
A-00129,Supply Ship,Petrol,4986.3,1248.63,2024-06-14,Doha Bay,Abu Dhabi Rig,62.57,Yes,1.92,D-594,Rainy,11,72.42,Delayed,Create threat baby page.,9573.7
A-00130,Supply Ship,Diesel,3922.94,517.45,2025-02-10,Dubai Port,Dubai Port,18.82,No,1.46,D-973,Rainy,11,27.39,Delayed,State fast if lay million thousand debate green.,5727.49
A-00131,Supply Ship,Petrol,1523.76,486.16,2023-10-30,Ras Laffan,Muscat Dock,48.06,No,0.84,D-126,Rainy,5,115.6,Delayed,Environmental stage treat surface fire prepare let actually.,1279.96
A-00132,Truck,Petrol,1461.32,1662.29,2025-02-04,Ras Laffan,Dubai Port,25.5,No,1.31,D-740,Rainy,13,62.08,Delayed,Weight hospital clear scientist community chair talk let.,1914.33
A-00133,Truck,Petrol,3369.37,1524.89,2024-05-16,Doha Bay,Dubai Port,25.87,Yes,0.72,D-113,Windy,9,30.25,Completed,Form soon box.,2425.95
A-00134,Truck,Diesel,4489.69,680.21,2024-06-28,Muscat Dock,Abu Dhabi Rig,13.91,No,1.0,D-390,Windy,5,117.22,Cancelled,Agree wife every sister expect no whom foreign.,4489.69
A-00135,Helicopter,Jet Fuel,2931.95,1279.23,2024-11-18,Abu Dhabi Rig,Muscat Dock,36.69,Yes,1.68,D-451,Stormy,3,48.05,Delayed,Bank leg resource particularly throughout.,4925.68
A-00136,Truck,Jet Fuel,2684.27,1658.02,2024-04-24,Muscat Dock,Doha Bay,42.13,No,0.52,D-145,Rainy,13,85.68,Cancelled,Involve cost some maybe structure chair music.,1395.82
A-00137,Truck,Petrol,885.88,1778.77,2023-09-28,Dubai Port,Dubai Port,42.25,No,1.43,D-845,Rainy,9,34.41,Completed,Ask firm free concern old game I.,1266.81
A-00138,Truck,Diesel,3605.74,21.55,2024-04-10,Ras Laffan,Dubai Port,61.82,Yes,1.54,D-653,Sunny,8,91.96,Cancelled,Bank hotel season security fast young kid thus.,5552.84
A-00139,Helicopter,Petrol,3541.26,1628.79,2024-08-16,Ras Laffan,Dubai Port,47.32,No,1.85,D-764,Windy,12,117.63,Cancelled,Director something painting be.,6551.33
A-00140,Truck,Jet Fuel,4838.06,707.28,2025-04-02,Dubai Port,Abu Dhabi Rig,53.56,No,1.63,D-579,Sunny,8,118.51,Delayed,Keep power generation card middle ago.,7886.04
A-00141,Supply Ship,Diesel,1570.94,1439.57,2023-10-22,Abu Dhabi Rig,Abu Dhabi Rig,23.96,No,1.1,D-389,Windy,6,32.62,Delayed,Late brother sort age case article.,1728.03
